City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,berryville,36.3648,-93.568,3.1,86,0,1.49,US,1713784035
258,kristiansund,63.1115,7.732,7.36,49,75,1.03,NO,1713784037
259,barcelos,41.5388,-8.6151,20.08,37,0,2.64,PT,1713784040
260,poronaysk,49.2167,143.1167,2.1,88,100,2.67,RU,1713784042
261,salina,38.8403,-97.6114,9.47,68,0,4.63,US,1713784045
262,aksuat,48.7167,83.7,20.46,38,1,7.17,KZ,1713784046
263,quthing,-30.4,27.7003,24.65,30,58,10.92,LS,1713784046
264,port saint john's,-31.6229,29.5448,26.19,75,100,2.87,ZA,1713784046
265,arkhangel'sk,64.5401,40.5433,2.06,55,40,8.0,RU,1713784047
266,vung tau,10.346,107.0843,28.93,72,75,6.39,VN,1713783510
267,iguape,-24.7081,-47.5553,19.59,88,8,1.46,BR,1713784047
268,alta sierra,35.7291,-118.5495,5.62,54,0,1.66,US,1713784050
269,gokceada,40.2011,25.909,18.6,63,75,2.57,TR,1713784053
270,hailar,49.2,119.7,7.01,59,99,8.32,CN,1713784055
271,sao jose da coroa grande,-8.8978,-35.1478,27.32,81,93,0.56,BR,1713784057
272,santa cruz,-17.8,-63.1667,23.01,91,62,4.06,BO,1713783636
273,gadzhiyevo,69.2551,33.3362,-6.86,66,5,10.3,RU,1713784063
274,fang,19.9169,99.2145,38.84,14,31,1.99,TH,1713784063
275,mundri,-6.9558,111.71,26.63,87,99,3.89,ID,1713784066
276,cabo san lucas,22.8909,-109.9124,23.06,54,0,5.21,MX,1713783919
277,al jubayl,27.0112,49.6583,30.73,47,0,4.37,SA,1713784016
278,colares,38.7992,-9.4469,25.18,63,0,5.36,PT,1713784073
279,abepura,-2.6333,140.5833,27.45,83,20,1.54,ID,1713784075
280,baykalovo,57.3981,63.7684,16.26,36,100,3.55,RU,1713784077
281,newberry,34.2746,-81.6187,9.99,93,100,3.86,US,1713784079
282,ashmyany,54.425,25.9378,0.0,100,100,7.41,BY,1713784081
283,olonkinbyen,70.9221,-8.7187,-1.61,61,0,7.92,SJ,1713784082
284,dakhla,23.6848,-15.958,19.58,72,36,6.66,EH,1713784084
285,nuku'alofa,-21.1333,-175.2,26.19,76,90,6.93,TO,1713784086
286,bonthe,7.5264,-12.505,27.7,82,98,2.79,SL,1713784088
287,hadibu,12.65,54.0333,30.71,63,98,3.6,YE,1713784091
288,hotan,37.0997,79.9269,26.51,10,24,5.6,CN,1713784009
289,newman,37.3138,-121.0208,15.72,87,1,1.34,US,1713784095
290,inongo,-1.95,18.2667,29.36,61,94,1.15,CD,1713784098
291,obo,5.3998,26.4869,38.3,24,24,2.23,CF,1713784100
292,susuman,62.7833,148.1667,-10.57,96,36,0.89,RU,1713784103
293,faya-largeau,17.9257,19.1043,43.21,6,1,6.73,TD,1713784106
294,copiapo,-27.3667,-70.3333,15.52,83,31,0.61,CL,1713784109
295,dompu,-8.5356,118.4622,25.5,96,100,1.34,ID,1713784112
296,ribeira brava,32.65,-17.0667,22.06,64,93,0.86,PT,1713784112
297,dubbo,-32.25,148.6167,16.07,67,0,4.12,AU,1713783344
298,masterton,-40.9597,175.6575,10.49,95,89,1.22,NZ,1713783925
299,northam,51.0333,-4.2167,12.03,78,98,3.21,GB,1713784113
300,okhotsk,59.3833,143.3,-2.5,96,100,1.61,RU,1713784115
301,posto fiscal rolim de moura,-13.0833,-62.2667,23.62,95,99,0.86,BR,1713784117
302,belyy yar,53.6039,91.3903,10.94,43,0,8.0,RU,1713784118
303,flying fish cove,-10.4217,105.6791,26.82,100,100,4.63,CX,1713784120
304,merizo village,13.2658,144.6691,28.31,86,28,6.76,GU,1713784123
305,touros,-5.1989,-35.4608,27.93,80,100,4.41,BR,1713784126
306,magadan,59.5667,150.8,-0.82,94,57,1.54,RU,1713783850
307,changshu city,31.6462,120.7422,15.38,85,97,3.19,CN,1713784130
308,kamen'-na-obi,53.7884,81.3423,10.18,44,9,7.39,RU,1713784132
309,remire-montjoly,4.9167,-52.2667,25.02,94,100,0.0,GF,1713784134
310,yichang,30.7144,111.2847,20.2,77,100,1.62,CN,1713783995
311,flin flon,54.7682,-101.865,-0.76,97,99,3.73,CA,1713784139
312,shingu,33.7333,135.9833,16.86,91,100,2.28,JP,1713784142
313,danielskuil,-28.1887,23.5395,27.44,23,72,9.91,ZA,1713784144
314,zyryanskoye,56.8306,86.6258,3.3,67,100,6.1,RU,1713784146
315,ribas do rio pardo,-20.4431,-53.7592,22.45,73,0,1.71,BR,1713784146
316,tsiombe,-25.3,45.4833,29.87,36,0,3.55,MG,1713784146
317,guiyang,26.5833,106.7167,15.95,90,100,3.05,CN,1713783855
318,papao,-17.75,-149.55,25.37,78,38,3.11,PF,1713784147
319,decatur,39.8403,-88.9548,4.58,80,0,3.09,US,1713784147
320,taroa,8.7058,171.2275,27.86,85,92,7.53,MH,1713784147
321,mersa matruh,31.3525,27.2453,27.24,35,66,6.86,EG,1713784148
322,cruz bay,18.3313,-64.7937,26.42,81,29,6.46,VI,1713784148
323,klyuchi,52.2667,79.1667,17.13,24,19,7.82,RU,1713784148
324,kourou,5.1552,-52.6478,25.03,90,100,1.84,GF,1713784151
325,sotnikovskoye,45.0039,43.7772,21.1,36,58,3.19,RU,1713784154
326,robertsport,6.7533,-11.3686,27.75,81,100,3.01,LR,1713784155
